properties,C,T_C,diagnostic_radius_m,rho_eff_kg_m3,cp_J_kg_K,k_W_m_K,alpha_m2_s,D_m2_s,tau_T_min,tau_C_h,tau_heat_external_min,tau_mass_external_h,Bi_T_R,Bi_C_R,alpha_over_D,epsilon_D_over_alpha,d_lnD_d_C,d_lnD_d_TK
q1,2.55,28,0.02,820.0,2600.0,0.36,1.6885553470919323e-07,4.937655094173937e-09,39.48148148148149,22.50280932789613,14.213333333333333,3.4722222222222223,1.3888888888888888,3.2404045432170427,34.1975151136883,0.02924189072438565,0.13687043444828914,0.0
q1,2.55,50,0.02,820.0,2600.0,0.36,1.6885553470919323e-07,4.937655094173937e-09,39.48148148148149,22.50280932789613,14.213333333333333,3.4722222222222223,1.3888888888888888,3.2404045432170427,34.1975151136883,0.02924189072438565,0.13687043444828914,0.0
q1,1.0,50,0.02,820.0,2600.0,0.36,1.6885553470919323e-07,2.8745902692664185e-09,39.48148148148149,38.65285160777579,14.213333333333333,3.4722222222222223,1.3888888888888888,5.566010631519713,58.74073133639472,0.017023962372433348,0.89,0.0
q1,0.15,50,0.02,820.0,2600.0,0.36,1.6885553470919323e-07,1.8547445945663438e-11,39.48148148148149,5990.642131354473,14.213333333333333,3.4722222222222223,1.3888888888888888,862.6524669150442,9103.977723071526,0.00010984209654487349,39.55555555555556,0.0
q1,0.05,50,0.02,820.0,2600.0,0.36,1.6885553470919323e-07,1.3021357486840858e-16,39.48148148148149,853298983.7918046,14.213333333333333,3.4722222222222223,1.3888888888888888,122875053.66601987,1296758305.5747874,7.711537267206864e-10,355.99999999999994,0.0
q23,2.55,28,0.02,976.4,3415.295774647887,0.48295774647887324,1.448281705704542e-07,5.641680373025668e-09,46.03156029940701,19.694683811291764,22.23129862910798,3.4722222222222223,1.0352872557596966,2.836034468826014,25.67110523717634,0.03895430254213682,0.06920415224913495,0.042451691009357605
q23,2.55,50,0.02,976.4,3415.295774647887,0.48295774647887324,1.448281705704542e-07,1.347096821741582e-08,46.03156029940701,8.248190428321411,22.23129862910798,3.4722222222222223,1.0352872557596966,1.1877394216782833,10.75113297225469,0.09301345286870576,0.06920415224913495,0.0368682402590219
q23,1.0,50,0.02,778.0,2818.0,0.4,1.8244812543673521e-07,1.0247230312086917e-08,36.54006666666667,10.843038335934757,14.616026666666668,3.4722222222222223,1.25,1.5613975203746049,17.804628165869577,0.05616517181285151,0.45,0.0368682402590219
q23,0.15,50,0.02,669.2,1806.8695652173913,0.25956521739130434,2.1466624526400237e-07,8.001208146652625e-10,31.05596158570631,138.86791728771038,8.061047420289855,3.4722222222222223,1.9262981574539364,19.996980089430295,268.2922895260635,0.0037272781926252644,20.0,0.0368682402590219
q23,0.05,50,0.02,656.4,1580.2857142857142,0.2280952380952381,2.1989331786165788e-07,1.983301210947583e-12,30.31773194154488,56023.316326229826,6.915330285714286,3.4722222222222223,2.1920668058455113,8067.357550977096,110872.37614129078,9.019379170927527e-06,179.99999999999997,0.0368682402590219
q4,2.55,28,0.02,989.5,3394.366197183099,0.26366197183098594,7.850060489915901e-08,1.0471122989493634e-09,84.92503561253561,106.1119339564593,22.391502347417845,3.4722222222222223,1.896367521367521,15.280118489730139,74.968659023415,0.013338907391789808,0.0461361014994233,0.042451691009357605
q4,2.55,50,0.02,989.5,3394.366197183099,0.26366197183098594,7.850060489915901e-08,2.5002509122379004e-09,84.92503561253561,44.439984230086274,22.391502347417845,3.4722222222222223,1.896367521367521,6.399357729132424,31.39709079393774,0.03185008466431175,0.0461361014994233,0.0368682402590219
q4,1.0,50,0.02,850.0,2925.0,0.22,8.848667672197084e-08,2.083477037198514e-09,75.3409090909091,53.32965476812424,16.575,3.4722222222222223,2.272727272727273,7.679470286609892,42.47067529045189,0.023545658107885482,0.3,0.0368682402590219
q4,0.15,50,0.02,773.5,2130.4347826086955,0.14608695652173914,8.865084495336598e-08,3.806169274383754e-10,75.20138888888889,291.92372461968546,10.985942028985507,3.4722222222222223,3.4226190476190474,42.03701634523471,232.9135636452196,0.00429343823669809,13.333333333333334,0.0368682402590219
q4,0.05,50,0.02,764.5,1952.3809523809523,0.1295238095238095,8.677758458421732e-08,6.971242197900836e-12,76.8247549019608,15938.495315019843,9.95063492063492,3.4722222222222223,3.8602941176470593,2295.1433253628575,12447.937128098574,8.033459598239072e-05,119.99999999999997,0.0368682402590219
