group,nr,nz,rtol,max_step_s,paired_event_difference_s,max_mid_T_difference_C,max_mid_C_difference,water_balance_relative
q1,32,32,1e-08,120.0,,1.5784045359623633e-07,7.82145637145959e-09,2.9744222335692735e-09
q1,64,32,1e-08,120.0,,1.584387021580369e-07,1.0895720325976299e-08,2.9745532181171005e-09
q1,64,64,1e-08,120.0,,1.0505134540039762e-07,1.5394099772692016e-08,2.921245750744329e-09
q1,128,64,1e-08,120.0,,1.0519291393507046e-07,1.559899009961896e-08,2.9217417809764685e-09
q23,32,32,1e-08,120.0,-8.201507077465067,0.0017065895883234816,2.315830512533701e-05,6.019969638250766e-08
q23,64,32,1e-08,120.0,-8.170529756258475,0.001704577155869913,2.3129685194689387e-05,6.033455182087071e-08
q23,64,64,1e-08,120.0,-7.637302022281801,0.0016812740659233327,2.2641320473804072e-05,5.679639956603225e-08
q23,128,64,1e-08,120.0,-7.630123860464664,0.0016807878569480295,2.2634303102009312e-05,5.7044484691459736e-08
q4,32,32,1e-08,120.0,-0.0304196551151108,9.456757599224375e-05,1.2181318482795689e-06,4.0483250912768434e-08
q4,64,32,1e-08,120.0,-0.02127333841053769,9.44177585679995e-05,1.2183432902546087e-06,4.0313932758499956e-08
q4,64,64,1e-08,120.0,-0.019539151981007308,8.978901743006418e-05,1.125551844172179e-06,3.950807698423236e-08
q4,128,64,1e-08,120.0,-0.01866854159743525,8.97401074482218e-05,1.1255653173947167e-06,3.957891739837712e-08
q4,64,64,1e-10,30.0,-0.028440186200896278,8.972099750081952e-05,1.1507170434299496e-06,2.6862364184883824e-10
q23,128,128,1e-08,120.0,-7.489676187309669,0.0016748030375310918,2.250814800230927e-05,5.55459251579154e-08
q4,128,128,1e-08,120.0,-0.018224297178676352,8.851215098104603e-05,1.1071149788044465e-06,3.9687783865416604e-08
q23,64,64,1e-09,60.0,-7.656976294849301,0.0016812284245375508,2.2638331708346726e-05,9.443510026251127e-09
q4,128,64,1e-10,30.0,-0.02841161916148849,8.967865315412382e-05,1.1506917170223119e-06,2.9082252945713934e-10
