question,category,quantity,value,unit,comparison,scope,source,interpretation
Q1,numerical_space,temperature,9.641447462627184e-07,degC,1280 vs 2560 cells,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,numerical_time,temperature,5.660929502937506e-09,degC,halve effective max_step at fixed mesh,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,format_rounding,temperature,71,cells,four-decimal values changed by mesh refinement,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,format_stability_count_not_error_magnitude
Q1,numerical_space,moisture,9.154213245210485e-07,kg_water_per_kg_dry,1280 vs 2560 cells,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,numerical_time,moisture,1.6078316456002995e-09,kg_water_per_kg_dry,halve effective max_step at fixed mesh,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,format_rounding,moisture,34,cells,four-decimal values changed by mesh refinement,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,format_stability_count_not_error_magnitude
Q2_front,numerical_space,temperature,1.2842348553476768e-06,degC,1280 vs 2560 cells,"0-10800 s; 21 radii, every second unless stated",q2_convergence,observed_difference_not_bound
Q2_front,numerical_time,temperature,1.1930140431104519e-08,degC,halve effective max_step at fixed mesh,"0-10800 s; 21 radii, every second unless stated",q2_convergence,observed_difference_not_bound
Q2_front,format_rounding,temperature,788,cells,four-decimal values changed by mesh refinement,"0-10800 s; 21 radii, every second unless stated",q2_convergence,format_stability_count_not_error_magnitude
Q2_front,numerical_space,moisture,8.019728805486181e-07,kg_water_per_kg_dry,1280 vs 2560 cells,"0-10800 s; 21 radii, every second unless stated",q2_convergence,observed_difference_not_bound
Q2_front,numerical_time,moisture,7.702727344849336e-10,kg_water_per_kg_dry,halve effective max_step at fixed mesh,"0-10800 s; 21 radii, every second unless stated",q2_convergence,observed_difference_not_bound
Q2_front,format_rounding,moisture,174,cells,four-decimal values changed by mesh refinement,"0-10800 s; 21 radii, every second unless stated",q2_convergence,format_stability_count_not_error_magnitude
Q23_tail,numerical_space,temperature,1.1489154161381521e-07,degC,1280 vs 2560 cells,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,observed_difference_not_bound
Q23_tail,numerical_time,temperature,1.1904951691121823e-08,degC,halve effective max_step at fixed mesh,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,observed_difference_not_bound
Q23_tail,format_rounding,temperature,35,cells,four-decimal values changed by mesh refinement,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,format_stability_count_not_error_magnitude
Q23_tail,numerical_space,moisture,2.601347004471677e-07,kg_water_per_kg_dry,1280 vs 2560 cells,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,observed_difference_not_bound
